266,23.7,237,Рязане профилиране и обработване на строителни и декоративни скални материали,237
267,23.70,2370,Рязане профилиране и обработване на строителни и декоративни скални материали,2370
268,23.9,239,Производство на изделия от други неметални минерали,239
269,23.91,2391,Производство на абразивни изделия,2391
270,23.99,2399,Производство на изделия от други неметални минерали некласифицирани другаде,2399
271,24,24,Производство на основни метали,24
272,24.1,241,Производство на чугун стомана и феросплави,241
273,24.10,2410,Производство на чугун стомана и феросплави,2410
274,24.2,242,Производство на тръби кухи профили и фитинги за тях от стомана,242
275,24.20,2420,Производство на тръби кухи профили и фитинги за тях от стомана,2420
276,24.3,243,Производство на други продукти при първичната преработка на стомана,243
277,24.31,2431,Студено изтегляне на пръти,2431
278,24.32,2432,Студено валцуване на тесни ленти,2432
279,24.33,2433,Студено формуване или прегъване на продукти от стомана,2433
280,24.34,2434,Студено изтегляне на тел,2434
281,24.4,244,Производство на основни благородни и други цветни метали,244
282,24.41,2441,Производство на благородни метали,2441
283,24.42,2442,Производство на алуминий,2442
284,24.43,2443,Производство на олово цинк калай,2443
285,24.44,2444,Производство на мед,2444
286,24.45,2445,Производство на други цветни метали,2445
287,24.46,2446,Преработка на ядрено гориво,2446
288,24.5,245,Леене на метали,245
289,24.51,2451,Леене на чугун,2451
290,24.52,2452,Леене на стомана,2452
291,24.53,2453,Леене на леки метали,2453
292,24.54,2454,Леене на други метали,2454
293,25,25,Производство на метални изделия без машини и оборудване,25
294,25.1,251,Производство на метални изделия за строителството,251
295,25.11,2511,Производство на метални конструкции и части от тях,2511
296,25.12,2512,Производство на метална дограма,2512
297,25.2,252,Производство на котли за централно отопление и радиатори с неелектрическо загряване производство на цистерн,252
298,25.21,2521,Производство на котли за централно отопление и радиатори с неелектрическо загряване,2521
299,25.29,2529,Производство на цистерни резервоари и контейнери от метал,2529
300,25.3,253,Производство на парни котли без котли за централно отопление,253
301,25.30,2530,Производство на парни котли без котли за централно отопление,2530
302,25.4,254,Производство на въоръжение и боеприпаси,254
